8.60999965667724609375e+00, 6.17500007152557373047e-01, 8.15999984741210937500e+00, 4.90333348512649536133e-01, 2.98149999999999977263e+02, 6.66989949248854863129e+00, 2.99726015493272726631e-02, 1.10250000000000019946e-11, 1.67698223768540555234e+00, 2.56195502867999275622e+04, 5.13782873041644543754e-06, 8.60999965667726030460e+00, 1.03499269073726107848e+00
6.66343815180798770825e+00, 5.68215246403487750371e-01, 6.16591931988394925668e+00, 4.50739248333933140156e-01, 3.18429999999999949978e+02, 4.35808271330105068131e+00, 5.61928095559587337249e-02, 8.87662422742877375582e-07, 1.64988097418053847321e+00, 1.87617737871182821691e+07, 2.36010707351264826712e-05, 6.66343815489196433788e+00, 8.74138284963641543079e-01
6.71602806073689517774e+00, 5.68029522265422803784e-01, 6.21096960601800152091e+00, 4.50600503718594225244e-01, 3.18639999999999986358e+02, 4.38150136645827359416e+00, 5.65891758137969450027e-02, 7.51162059184562988883e-07, 1.65271928218274188893e+00, 1.43254794508951026946e+07, 2.46076616428805291592e-05, 6.71602806347294656319e+00, 8.67532349777047517847e-01
6.71628129805494644700e+00, 5.67829131817403576221e-01, 6.21018929730722213378e+00, 4.50439184051543983767e-01, 3.18740000000000009095e+02, 4.37713566303074053110e+00, 5.66900764986708674553e-02, 1.10216778574848610414e-06, 1.65290239882803824401e+00, 2.38220918776275105774e+07, 2.48491297216214404922e-05, 6.71628130210723117699e+00, 8.66128017838386998761e-01
6.76888141499977624704e+00, 5.67641356639579597321e-01, 6.25518842635312388722e+00, 4.50299058487869829914e-01, 3.18949999999999988631e+02, 4.40032552823304357048e+00, 5.70888065289081175768e-02, 5.75121718704196950133e-07, 1.65574070683023899520e+00, 2.51352860382120981812e+07, 2.59043581306004125873e-05, 6.76888141721598568523e+00, 8.59502577741979356674e-01
6.82174694035856266083e+00, 5.67251085989673775600e-01, 6.29934741435397604903e+00, 4.49996252422333486987e-01, 3.19259999999999990905e+02, 4.41887161270972672611e+00, 5.75914259836520295299e-02, 9.93296581391100594851e-07, 1.65867057315507993032e+00, 2.36214287317019030452e+07, 2.72449125565796678881e-05, 6.82174694440474649326e+00, 8.51541173593941103093e-01
6.87436551025524966718e+00, 5.67059374260803439327e-01, 6.34425210193682875826e+00, 4.49853424858425499089e-01, 3.19469999999999970441e+02, 4.44164619733808674340e+00, 5.79941646495944623796e-02, 7.91480296577878228373e-07, 1.66141732283463916531e+00, 6.91362372566699832678e+07, 2.83733731380323311074e-05, 6.87436551363074777043e+00, 8.44980817028477493302e-01
6.87462463681325530729e+00, 5.66858738584274046701e-01, 6.34344645235567217156e+00, 4.49692105191375257611e-01, 3.19569999999999993179e+02, 4.43713841142625309288e+00, 5.80970345350978883969e-02, 9.78333087061510554199e-07, 1.66160043947994684466e+00, 5.29037094029101729393e+07, 2.86490139522093114287e-05, 6.87462464102463943760e+00, 8.43549763093004223435e-01
6.92751450436385507459e+00, 5.66464342086871908144e-01, 6.38748542123929397007e+00, 4.49386636033343500607e-01, 3.19879999999999995453e+02, 4.45512471128287756983e+00, 5.86056321600114393799e-02, 5.48593558884789818236e-07, 1.66453030580477778777e+00, 5.45921291352910995483e+07, 3.01193823548225174142e-05, 6.92751450685875180824e+00, 8.35528401766872819145e-01
7.03253570535889149795e+00, 5.66272137472876191389e-01, 6.47787661855209684347e+00, 4.49255765810596618959e-01, 3.20199999999999988631e+02, 4.50420680551551644299e+00, 5.93173836527733921997e-02, 3.81742390906078359906e-07, 1.66965757187326691025e+00, 6.62809427900398299098e+07, 3.22849069624723262182e-05, 7.03253570724029586358e+00, 8.23961081372786563470e-01
